city,city_ascii,state_name,lat,lng
Takoma Park,Takoma Park,Maryland,38.981,-77.0028
Oak Grove,Oak Grove,Oregon,45.4156,-122.6349
Kirksville,Kirksville,Missouri,40.1986,-92.5752
Norcross,Norcross,Georgia,33.9379,-84.2065
St. Matthews,St. Matthews,Kentucky,38.2497,-85.6384
Goodlettsville,Goodlettsville,Tennessee,36.333,-86.7026
Coalinga,Coalinga,California,36.142,-120.3242
South Ogden,South Ogden,Utah,41.1722,-111.9576
El Reno,El Reno,Oklahoma,35.5429,-97.966
South Venice,South Venice,Florida,27.0444,-82.4155
Bluffdale,Bluffdale,Utah,40.4744,-111.9381
Gainesville,Gainesville,Texas,33.639,-97.1487
West Columbia,West Columbia,South Carolina,33.9932,-81.0936
Morganton,Morganton,North Carolina,35.7408,-81.7002
Los Lunas,Los Lunas,New Mexico,34.8115,-106.7803
Laguna Woods,Laguna Woods,California,33.6099,-117.7299
Bon Air,Bon Air,Virginia,37.5187,-77.5713
Olivehurst,Olivehurst,California,39.0795,-121.5566
Conyers,Conyers,Georgia,33.6646,-83.9966
Murray,Murray,Kentucky,36.6146,-88.3207
New Castle,New Castle,Indiana,39.9191,-85.3697
Wahiawa,Wahiawa,Hawaii,21.5012,-158.0178
Streetsboro,Streetsboro,Ohio,41.2396,-81.3456
Woodcrest,Woodcrest,California,33.8789,-117.3687
Villa Rica,Villa Rica,Georgia,33.7294,-84.9177
Glassmanor,Glassmanor,Maryland,38.8181,-76.9833
Johnstown,Johnstown,Colorado,40.3499,-104.9482
Jenison,Jenison,Michigan,42.9063,-85.8269
Fort Thomas,Fort Thomas,Kentucky,39.0801,-84.4518
Bethpage,Bethpage,New York,40.7495,-73.4856
Lebanon,Lebanon,Indiana,40.0324,-86.4551
Hernando,Hernando,Mississippi,34.85,-89.9921
Rancho Mirage,Rancho Mirage,California,33.7635,-116.4271
Stanford,Stanford,California,37.4252,-122.1674
Laurel,Laurel,Mississippi,31.6956,-89.1449
North Druid Hills,North Druid Hills,Georgia,33.8185,-84.3254
Stafford,Stafford,Texas,29.6271,-95.5654
Shelbyville,Shelbyville,Kentucky,38.2067,-85.2292
Aurora,Aurora,Ohio,41.3118,-81.345
Buford,Buford,Georgia,34.1192,-83.9903
Clayton,Clayton,Missouri,38.6444,-90.3303
Avenel,Avenel,New Jersey,40.5842,-74.2716
Danville,Danville,Kentucky,37.6418,-84.7777
Flowing Wells,Flowing Wells,Arizona,32.2937,-111.011
Calhoun,Calhoun,Georgia,34.491,-84.9386
North Decatur,North Decatur,Georgia,33.8074,-84.2889
Hinsdale,Hinsdale,Illinois,41.8007,-87.9273
Bellaire,Bellaire,Texas,29.704,-95.4621
Pinewood,Pinewood,Florida,25.8697,-80.2174
Fairview Park,Fairview Park,Ohio,41.4419,-81.853
Graham,Graham,North Carolina,36.0589,-79.3894
Beckley,Beckley,West Virginia,37.7877,-81.1841
Manassas Park,Manassas Park,Virginia,38.7709,-77.4429
Easton,Easton,Maryland,38.776,-76.0701
Kaukauna,Kaukauna,Wisconsin,44.2773,-88.2641
Groves,Groves,Texas,29.9457,-93.9164
Oswego,Oswego,New York,43.4516,-76.5005
Estelle,Estelle,Louisiana,29.8447,-90.1021
Lake St. Louis,Lake St. Louis,Missouri,38.7846,-90.7886
Safety Harbor,Safety Harbor,Florida,28.008,-82.6964
El Segundo,El Segundo,California,33.917,-118.4018
Upper Grand Lagoon,Upper Grand Lagoon,Florida,30.169,-85.7407
Cañon City,Canon City,Colorado,38.443,-105.2203
Tifton,Tifton,Georgia,31.4624,-83.5203
Massapequa Park,Massapequa Park,New York,40.6817,-73.4496
Norwalk,Norwalk,Ohio,41.2443,-82.6088
Bristol,Bristol,Virginia,36.6181,-82.1604
Addison,Addison,Texas,32.959,-96.8355
Milledgeville,Milledgeville,Georgia,33.0874,-83.2414
Huntington,Huntington,Indiana,40.881,-85.5063
Port Washington,Port Washington,New York,40.8268,-73.6765
Wixom,Wixom,Michigan,42.5243,-83.5346
Pendleton,Pendleton,Oregon,45.6757,-118.8201
Hannibal,Hannibal,Missouri,39.7098,-91.3939
Gainesville,Gainesville,Virginia,38.7931,-77.6347
Aberdeen,Aberdeen,Washington,46.9757,-123.8094
